.Archetype.,Archetype,metrics,value,data_type
Administrative Social Admission,Standard Deviation,Median Frequency,0.45,Diagnosis
Administrative Social Admission,Standard Deviation,Frequency per Quarter,0.03,Diagnosis
Administrative Social Admission,Standard Deviation,Frequency per Month,0.01,Diagnosis
Allergic Reactions,Archetype 1,Prevalence,0.094,Diagnosis
Allergic Reactions,Archetype 1,Mean Frequency,1.38,Diagnosis
Allergic Reactions,Archetype 1,Median Frequency,1.0,Diagnosis
Allergic Reactions,Archetype 1,Frequency per Quarter,0.04,Diagnosis
Allergic Reactions,Archetype 1,Frequency per Month,0.02,Diagnosis
Allergic Reactions,Archetype 2,Prevalence,0.21,Diagnosis
Allergic Reactions,Archetype 2,Mean Frequency,1.96,Diagnosis
Allergic Reactions,Archetype 2,Median Frequency,1.0,Diagnosis
Allergic Reactions,Archetype 2,Frequency per Quarter,0.05,Diagnosis
Allergic Reactions,Archetype 2,Frequency per Month,0.02,Diagnosis
Allergic Reactions,Archetype 3,Prevalence,0.249,Diagnosis
Allergic Reactions,Archetype 3,Mean Frequency,2.02,Diagnosis
Allergic Reactions,Archetype 3,Median Frequency,1.0,Diagnosis
Allergic Reactions,Archetype 3,Frequency per Quarter,0.03,Diagnosis
Allergic Reactions,Archetype 3,Frequency per Month,0.01,Diagnosis
Allergic Reactions,Archetype 4,Prevalence,0.43,Diagnosis
Allergic Reactions,Archetype 4,Mean Frequency,3.23,Diagnosis
Allergic Reactions,Archetype 4,Median Frequency,2.0,Diagnosis
Allergic Reactions,Archetype 4,Frequency per Quarter,0.09,Diagnosis
Allergic Reactions,Archetype 4,Frequency per Month,0.03,Diagnosis
Allergic Reactions,Overall,Prevalence,0.179,Diagnosis
Allergic Reactions,Overall,Mean Frequency,2.06,Diagnosis
Allergic Reactions,Overall,Median Frequency,1.0,Diagnosis
Allergic Reactions,Overall,Frequency per Quarter,0.04,Diagnosis
Allergic Reactions,Overall,Frequency per Month,0.02,Diagnosis
Allergic Reactions,Standard Deviation,Mean Frequency,0.67,Diagnosis
Allergic Reactions,Standard Deviation,Median Frequency,0.45,Diagnosis
Allergic Reactions,Standard Deviation,Frequency per Quarter,0.02,Diagnosis
Allergic Reactions,Standard Deviation,Frequency per Month,0.01,Diagnosis
Blindness And Vision Defects,Archetype 1,Prevalence,0.404,Diagnosis
Blindness And Vision Defects,Archetype 1,Mean Frequency,2.23,Diagnosis
Blindness And Vision Defects,Archetype 1,Median Frequency,2.0,Diagnosis
Blindness And Vision Defects,Archetype 1,Frequency per Quarter,0.36,Diagnosis
Blindness And Vision Defects,Archetype 1,Frequency per Month,0.21,Diagnosis
Blindness And Vision Defects,Archetype 2,Prevalence,0.471,Diagnosis
Blindness And Vision Defects,Archetype 2,Mean Frequency,2.91,Diagnosis
Blindness And Vision Defects,Archetype 2,Median Frequency,2.0,Diagnosis
Blindness And Vision Defects,Archetype 2,Frequency per Quarter,0.19,Diagnosis
Blindness And Vision Defects,Archetype 2,Frequency per Month,0.06,Diagnosis
Blindness And Vision Defects,Archetype 3,Prevalence,0.499,Diagnosis
Blindness And Vision Defects,Archetype 3,Mean Frequency,3.11,Diagnosis
Blindness And Vision Defects,Archetype 3,Median Frequency,2.0,Diagnosis
Blindness And Vision Defects,Archetype 3,Frequency per Quarter,0.1,Diagnosis
Blindness And Vision Defects,Archetype 3,Frequency per Month,0.03,Diagnosis
Blindness And Vision Defects,Archetype 4,Prevalence,0.63,Diagnosis
Blindness And Vision Defects,Archetype 4,Mean Frequency,4.07,Diagnosis
Blindness And Vision Defects,Archetype 4,Median Frequency,3.0,Diagnosis
Blindness And Vision Defects,Archetype 4,Frequency per Quarter,0.17,Diagnosis
Blindness And Vision Defects,Archetype 4,Frequency per Month,0.06,Diagnosis
Blindness And Vision Defects,Overall,Prevalence,0.456,Diagnosis
Blindness And Vision Defects,Overall,Mean Frequency,2.79,Diagnosis
Blindness And Vision Defects,Overall,Median Frequency,2.0,Diagnosis
Blindness And Vision Defects,Overall,Frequency per Quarter,0.25,Diagnosis
Blindness And Vision Defects,Overall,Frequency per Month,0.13,Diagnosis
Blindness And Vision Defects,Standard Deviation,Mean Frequency,0.67,Diagnosis
Blindness And Vision Defects,Standard Deviation,Median Frequency,0.45,Diagnosis
Blindness And Vision Defects,Standard Deviation,Frequency per Quarter,0.1,Diagnosis
Blindness And Vision Defects,Standard Deviation,Frequency per Month,0.07,Diagnosis
Cardiac Disorders,Archetype 1,Prevalence,0.344,Diagnosis
Cardiac Disorders,Archetype 1,Mean Frequency,3.01,Diagnosis
Cardiac Disorders,Archetype 1,Median Frequency,2.0,Diagnosis
Cardiac Disorders,Archetype 1,Frequency per Quarter,0.29,Diagnosis
Cardiac Disorders,Archetype 1,Frequency per Month,0.15,Diagnosis
Cardiac Disorders,Archetype 2,Prevalence,0.55,Diagnosis
Cardiac Disorders,Archetype 2,Mean Frequency,6.11,Diagnosis
Cardiac Disorders,Archetype 2,Median Frequency,3.0,Diagnosis
Cardiac Disorders,Archetype 2,Frequency per Quarter,0.4,Diagnosis
Cardiac Disorders,Archetype 2,Frequency per Month,0.13,Diagnosis
Cardiac Disorders,Archetype 3,Prevalence,0.549,Diagnosis
Cardiac Disorders,Archetype 3,Mean Frequency,6.77,Diagnosis
Cardiac Disorders,Archetype 3,Median Frequency,3.0,Diagnosis
Cardiac Disorders,Archetype 3,Frequency per Quarter,0.25,Diagnosis
Cardiac Disorders,Archetype 3,Frequency per Month,0.08,Diagnosis
Cardiac Disorders,Archetype 4,Prevalence,0.788,Diagnosis
Cardiac Disorders,Archetype 4,Mean Frequency,15.03,Diagnosis
Cardiac Disorders,Archetype 4,Median Frequency,7.0,Diagnosis
Cardiac Disorders,Archetype 4,Frequency per Quarter,0.78,Diagnosis
Cardiac Disorders,Archetype 4,Frequency per Month,0.26,Diagnosis
Cardiac Disorders,Overall,Prevalence,0.466,Diagnosis
Cardiac Disorders,Overall,Mean Frequency,6.3,Diagnosis
Cardiac Disorders,Overall,Median Frequency,3.0,Diagnosis
Cardiac Disorders,Overall,Frequency per Quarter,0.34,Diagnosis
Cardiac Disorders,Overall,Frequency per Month,0.14,Diagnosis
Cardiac Disorders,Standard Deviation,Mean Frequency,4.49,Diagnosis
Cardiac Disorders,Standard Deviation,Median Frequency,1.95,Diagnosis
Cardiac Disorders,Standard Deviation,Frequency per Quarter,0.21,Diagnosis
Cardiac Disorders,Standard Deviation,Frequency per Month,0.07,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Archetype 1,Prevalence,0.106,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Archetype 1,Mean Frequency,1.66,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Archetype 1,Median Frequency,1.0,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Archetype 1,Frequency per Quarter,0.05,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Archetype 1,Frequency per Month,0.03,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Archetype 2,Prevalence,0.205,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Archetype 2,Mean Frequency,2.38,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Archetype 2,Median Frequency,1.0,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Archetype 2,Frequency per Quarter,0.06,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Archetype 2,Frequency per Month,0.02,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Archetype 3,Prevalence,0.225,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Archetype 3,Mean Frequency,2.2,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Archetype 3,Median Frequency,1.0,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Archetype 3,Frequency per Quarter,0.03,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Archetype 3,Frequency per Month,0.01,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Archetype 4,Prevalence,0.429,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Archetype 4,Mean Frequency,3.78,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Archetype 4,Median Frequency,2.0,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Archetype 4,Frequency per Quarter,0.11,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Archetype 4,Frequency per Month,0.04,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Overall,Prevalence,0.178,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Overall,Mean Frequency,2.37,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Overall,Median Frequency,1.0,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Overall,Frequency per Quarter,0.06,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Overall,Frequency per Month,0.02,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Standard Deviation,Mean Frequency,0.78,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Standard Deviation,Median Frequency,0.45,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Standard Deviation,Frequency per Quarter,0.03,Diagnosis
Conditions Associated With Dizziness Or Vertigo,Standard Deviation,Frequency per Month,0.01,Diagnosis
Congenital And Developmental Myasthenia,Archetype 1,Prevalence,0.002,Diagnosis
Congenital And Developmental Myasthenia,Archetype 1,Mean Frequency,1.0,Diagnosis
Congenital And Developmental Myasthenia,Archetype 1,Median Frequency,1.0,Diagnosis
Congenital And Developmental Myasthenia,Archetype 1,Frequency per Quarter,0.0,Diagnosis
Congenital And Developmental Myasthenia,Archetype 1,Frequency per Month,0.0,Diagnosis
Congenital And Developmental Myasthenia,Archetype 2,Prevalence,0.002,Diagnosis
Congenital And Developmental Myasthenia,Archetype 2,Mean Frequency,1.0,Diagnosis
Congenital And Developmental Myasthenia,Archetype 2,Median Frequency,1.0,Diagnosis
Congenital And Developmental Myasthenia,Archetype 2,Frequency per Quarter,0.0,Diagnosis
Congenital And Developmental Myasthenia,Archetype 2,Frequency per Month,0.0,Diagnosis
Congenital And Developmental Myasthenia,Archetype 3,Prevalence,0.004,Diagnosis
Congenital And Developmental Myasthenia,Archetype 3,Mean Frequency,1.0,Diagnosis
Congenital And Developmental Myasthenia,Archetype 3,Median Frequency,1.0,Diagnosis
Congenital And Developmental Myasthenia,Archetype 3,Frequency per Quarter,0.0,Diagnosis
Congenital And Developmental Myasthenia,Archetype 3,Frequency per Month,0.0,Diagnosis
Congenital And Developmental Myasthenia,Archetype 4,Prevalence,0.004,Diagnosis
Congenital And Developmental Myasthenia,Archetype 4,Mean Frequency,1.0,Diagnosis
Congenital And Developmental Myasthenia,Archetype 4,Median Frequency,1.0,Diagnosis
Congenital And Developmental Myasthenia,Archetype 4,Frequency per Quarter,0.0,Diagnosis
Congenital And Developmental Myasthenia,Archetype 4,Frequency per Month,0.0,Diagnosis
Congenital And Developmental Myasthenia,Overall,Prevalence,0.003,Diagnosis
Congenital And Developmental Myasthenia,Overall,Mean Frequency,1.0,Diagnosis
Congenital And Developmental Myasthenia,Overall,Median Frequency,1.0,Diagnosis
Congenital And Developmental Myasthenia,Overall,Frequency per Quarter,0.0,Diagnosis
Congenital And Developmental Myasthenia,Overall,Frequency per Month,0.0,Diagnosis
Congenital And Developmental Myasthenia,Standard Deviation,Mean Frequency,0.0,Diagnosis
Congenital And Developmental Myasthenia,Standard Deviation,Median Frequency,0.0,Diagnosis
Congenital And Developmental Myasthenia,Standard Deviation,Frequency per Quarter,0.0,Diagnosis
Congenital And Developmental Myasthenia,Standard Deviation,Frequency per Month,0.0,Diagnosis
Deficiency And Other Anemia,Archetype 1,Prevalence,0.116,Diagnosis
Deficiency And Other Anemia,Archetype 1,Mean Frequency,2.21,Diagnosis
Deficiency And Other Anemia,Archetype 1,Median Frequency,1.0,Diagnosis
Deficiency And Other Anemia,Archetype 1,Frequency per Quarter,0.07,Diagnosis
Deficiency And Other Anemia,Archetype 1,Frequency per Month,0.04,Diagnosis
Deficiency And Other Anemia,Archetype 2,Prevalence,0.256,Diagnosis
Deficiency And Other Anemia,Archetype 2,Mean Frequency,4.44,Diagnosis
Deficiency And Other Anemia,Archetype 2,Median Frequency,2.0,Diagnosis
Deficiency And Other Anemia,Archetype 2,Frequency per Quarter,0.14,Diagnosis
Deficiency And Other Anemia,Archetype 2,Frequency per Month,0.05,Diagnosis
Deficiency And Other Anemia,Archetype 3,Prevalence,0.266,Diagnosis
Deficiency And Other Anemia,Archetype 3,Mean Frequency,4.16,Diagnosis
Deficiency And Other Anemia,Archetype 3,Median Frequency,2.0,Diagnosis
Deficiency And Other Anemia,Archetype 3,Frequency per Quarter,0.07,Diagnosis
Deficiency And Other Anemia,Archetype 3,Frequency per Month,0.02,Diagnosis
Deficiency And Other Anemia,Archetype 4,Prevalence,0.515,Diagnosis
Deficiency And Other Anemia,Archetype 4,Mean Frequency,7.54,Diagnosis
Deficiency And Other Anemia,Archetype 4,Median Frequency,3.0,Diagnosis
Deficiency And Other Anemia,Archetype 4,Frequency per Quarter,0.26,Diagnosis
Deficiency And Other Anemia,Archetype 4,Frequency per Month,0.09,Diagnosis
Deficiency And Other Anemia,Overall,Prevalence,0.209,Diagnosis
Deficiency And Other Anemia,Overall,Mean Frequency,4.32,Diagnosis
Deficiency And Other Anemia,Overall,Median Frequency,2.0,Diagnosis
Deficiency And Other Anemia,Overall,Frequency per Quarter,0.1,Diagnosis
Deficiency And Other Anemia,Overall,Frequency per Month,0.04,Diagnosis
Deficiency And Other Anemia,Standard Deviation,Mean Frequency,1.91,Diagnosis
Deficiency And Other Anemia,Standard Deviation,Median Frequency,0.71,Diagnosis
Deficiency And Other Anemia,Standard Deviation,Frequency per Quarter,0.08,Diagnosis
Deficiency And Other Anemia,Standard Deviation,Frequency per Month,0.03,Diagnosis
Disorders Of Lipid Metabolism,Archetype 1,Prevalence,0.379,Diagnosis
Disorders Of Lipid Metabolism,Archetype 1,Mean Frequency,2.5,Diagnosis
Disorders Of Lipid Metabolism,Archetype 1,Median Frequency,2.0,Diagnosis
Disorders Of Lipid Metabolism,Archetype 1,Frequency per Quarter,0.24,Diagnosis
Disorders Of Lipid Metabolism,Archetype 1,Frequency per Month,0.12,Diagnosis
Disorders Of Lipid Metabolism,Archetype 2,Prevalence,0.592,Diagnosis
Disorders Of Lipid Metabolism,Archetype 2,Mean Frequency,4.58,Diagnosis
Disorders Of Lipid Metabolism,Archetype 2,Median Frequency,3.0,Diagnosis
Disorders Of Lipid Metabolism,Archetype 2,Frequency per Quarter,0.31,Diagnosis
Disorders Of Lipid Metabolism,Archetype 2,Frequency per Month,0.1,Diagnosis
Disorders Of Lipid Metabolism,Archetype 3,Prevalence,0.614,Diagnosis
Disorders Of Lipid Metabolism,Archetype 3,Mean Frequency,5.54,Diagnosis
Disorders Of Lipid Metabolism,Archetype 3,Median Frequency,4.0,Diagnosis
Disorders Of Lipid Metabolism,Archetype 3,Frequency per Quarter,0.23,Diagnosis
Disorders Of Lipid Metabolism,Archetype 3,Frequency per Month,0.08,Diagnosis
Disorders Of Lipid Metabolism,Archetype 4,Prevalence,0.752,Diagnosis
Disorders Of Lipid Metabolism,Archetype 4,Mean Frequency,9.88,Diagnosis
Disorders Of Lipid Metabolism,Archetype 4,Median Frequency,7.0,Diagnosis
Disorders Of Lipid Metabolism,Archetype 4,Frequency per Quarter,0.49,Diagnosis
Disorders Of Lipid Metabolism,Archetype 4,Frequency per Month,0.16,Diagnosis
Disorders Of Lipid Metabolism,Overall,Prevalence,0.504,Diagnosis
Disorders Of Lipid Metabolism,Overall,Mean Frequency,4.68,Diagnosis
Disorders Of Lipid Metabolism,Overall,Median Frequency,3.0,Diagnosis
Disorders Of Lipid Metabolism,Overall,Frequency per Quarter,0.27,Diagnosis
Disorders Of Lipid Metabolism,Overall,Frequency per Month,0.11,Diagnosis
Disorders Of Lipid Metabolism,Standard Deviation,Mean Frequency,2.72,Diagnosis
Disorders Of Lipid Metabolism,Standard Deviation,Median Frequency,1.92,Diagnosis
Disorders Of Lipid Metabolism,Standard Deviation,Frequency per Quarter,0.11,Diagnosis
Disorders Of Lipid Metabolism,Standard Deviation,Frequency per Month,0.03,Diagnosis
Diverticulosis And Diverticulitis,Archetype 1,Prevalence,0.056,Diagnosis
Diverticulosis And Diverticulitis,Archetype 1,Mean Frequency,1.32,Diagnosis
Diverticulosis And Diverticulitis,Archetype 1,Median Frequency,1.0,Diagnosis
Diverticulosis And Diverticulitis,Archetype 1,Frequency per Quarter,0.01,Diagnosis
Diverticulosis And Diverticulitis,Archetype 1,Frequency per Month,0.01,Diagnosis
Diverticulosis And Diverticulitis,Archetype 2,Prevalence,0.139,Diagnosis
Diverticulosis And Diverticulitis,Archetype 2,Mean Frequency,1.92,Diagnosis
Diverticulosis And Diverticulitis,Archetype 2,Median Frequency,1.0,Diagnosis
Diverticulosis And Diverticulitis,Archetype 2,Frequency per Quarter,0.03,Diagnosis
Diverticulosis And Diverticulitis,Archetype 2,Frequency per Month,0.01,Diagnosis
Diverticulosis And Diverticulitis,Archetype 3,Prevalence,0.157,Diagnosis
Diverticulosis And Diverticulitis,Archetype 3,Mean Frequency,1.8,Diagnosis
Diverticulosis And Diverticulitis,Archetype 3,Median Frequency,1.0,Diagnosis
Diverticulosis And Diverticulitis,Archetype 3,Frequency per Quarter,0.02,Diagnosis
Diverticulosis And Diverticulitis,Archetype 3,Frequency per Month,0.01,Diagnosis
Diverticulosis And Diverticulitis,Archetype 4,Prevalence,0.271,Diagnosis
Diverticulosis And Diverticulitis,Archetype 4,Mean Frequency,2.25,Diagnosis
Diverticulosis And Diverticulitis,Archetype 4,Median Frequency,1.0,Diagnosis
Diverticulosis And Diverticulitis,Archetype 4,Frequency per Quarter,0.04,Diagnosis
Diverticulosis And Diverticulitis,Archetype 4,Frequency per Month,0.01,Diagnosis
Diverticulosis And Diverticulitis,Overall,Prevalence,0.112,Diagnosis
Diverticulosis And Diverticulitis,Overall,Mean Frequency,1.79,Diagnosis
Diverticulosis And Diverticulitis,Overall,Median Frequency,1.0,Diagnosis
Diverticulosis And Diverticulitis,Overall,Frequency per Quarter,0.02,Diagnosis
Diverticulosis And Diverticulitis,Overall,Frequency per Month,0.01,Diagnosis
Diverticulosis And Diverticulitis,Standard Deviation,Mean Frequency,0.33,Diagnosis
Diverticulosis And Diverticulitis,Standard Deviation,Median Frequency,0.0,Diagnosis
Diverticulosis And Diverticulitis,Standard Deviation,Frequency per Quarter,0.01,Diagnosis
Diverticulosis And Diverticulitis,Standard Deviation,Frequency per Month,0.0,Diagnosis
Encephalitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 1,Prevalence,0.049,Diagnosis
Encephalitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 1,Mean Frequency,1.37,Diagnosis
Encephalitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 1,Median Frequency,1.0,Diagnosis
Encephalitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 1,Frequency per Quarter,0.01,Diagnosis
Encephalitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 1,Frequency per Month,0.01,Diagnosis
Encephalitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 2,Prevalence,0.125,Diagnosis
Encephalitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 2,Mean Frequency,1.55,Diagnosis
Encephalitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 2,Median Frequency,1.0,Diagnosis
Encephalitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 2,Frequency per Quarter,0.02,Diagnosis
Encephalitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 2,Frequency per Month,0.01,Diagnosis
Encephalitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 3,Prevalence,0.157,Diagnosis
Encephalitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 3,Mean Frequency,1.94,Diagnosis
Encephalitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 3,Median Frequency,1.0,Diagnosis
Encephalitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 3,Frequency per Quarter,0.02,Diagnosis
Encephalitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 3,Frequency per Month,0.01,Diagnosis
Encephalitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 4,Prevalence,0.253,Diagnosis
Encephalitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 4,Mean Frequency,2.42,Diagnosis
Encephalitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 4,Median Frequency,2.0,Diagnosis
Encephalitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 4,Frequency per Quarter,0.04,Diagnosis
Encephalitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Archetype 4,Frequency per Month,0.01,Diagnosis
Encephalitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Overall,Prevalence,0.105,Diagnosis
Encephalitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Overall,Mean Frequency,1.8,Diagnosis
Encephalitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Overall,Median Frequency,1.0,Diagnosis
Encephalitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Overall,Frequency per Quarter,0.02,Diagnosis
Encephalitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Overall,Frequency per Month,0.01,Diagnosis
Encephalitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Standard Deviation,Mean Frequency,0.4,Diagnosis
Encephalitis  Except That Caused By Tuberculosis Or Sexually Transmitted Disease ,Standard Deviation,Median Frequency,0.45,Diagnosis
